name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Xanthomonas citri phage CP2,1188795,S,84,0,84,0.00001
Parvimonas micra,33033,S,263,26,289,0.00003
Shewanella amazonensis,60478,S,161,3,164,0.00002
Variovorax paradoxus,34073,S,14158,3038,17196,0.00169
Clostridiales bacterium CCNA10,2109688,S,11103,1229,12332,0.00122
Burkholderia latens,488446,S,33,76,109,0.00001
Burkholderia contaminans,488447,S,198,103,301,0.00003
Acetomicrobium mobile,97477,S,53,1,54,0.00001
Lactobacillus mucosae,97478,S,3311,131,3442,0.00034
Fervidobacterium islandicum,2423,S,24,7,31,0
Mycolicibacterium rhodesiae,36814,S,1227,211,1438,0.00014
Oscillibacter sp. PEA192,2109687,S,5498,658,6156,0.00061
Olsenella sp. GAM18,2109685,S,4998,323,5321,0.00052
Lactobacillus paracollinoides,240427,S,140,13,153,0.00002
Micromonospora narathiwatensis,299146,S,97,35,132,0.00001
Candidatus Fonsibacter ubiquis,1925548,S,153,13,166,0.00002
Mucilaginibacter sp. BJC16-A31,1234841,S,28,4,32,0
Campylobacter hepaticus,1813019,S,14,0,14,0
Auritidibacter sp. NML130574,2170745,S,269,14,283,0.00003
Bosea sp. PAMC 26642,1792307,S,4084,829,4913,0.00048
Streptomyces sp. S8,1837283,S,38,21,59,0.00001
Arthrobacter sp. PAMC 25486,1494608,S,132,8,140,0.00001
Mycobacterium virus Patience,1982360,S,14,0,14,0
Escherichia virus HY01,2049937,S,11,19,30,0
Corynebacterium doosanense,1121358,S,212,33,245,0.00002
Blattabacterium punctulatus,164514,S,21,61,82,0.00001
[Eubacterium] hallii,39488,S,29829,1512,31341,0.00309
Clostridium sp. MF28,1702238,S,13,2,15,0
Streptomyces albireticuli,1940,S,116,14,130,0.00001
Bacillus sp. FJAT-18017,1705566,S,32,1,33,0
Candidatus Solibacter usitatus,332163,S,162,0,162,0.00002
Bacteroides thetaiotaomicron,818,S,1673,114,1787,0.00018
Scardovia inopinata,78259,S,67,0,67,0.00001
Selenomonas sp. oral taxon 126,712528,S,155,14,169,0.00002
Vibrio azureus,512649,S,34,1,35,0
Prevotella scopos,589437,S,107,96,203,0.00002
Clostridium beijerinckii,1520,S,230,9,239,0.00002
Nonlabens marinus,930802,S,73,44,117,0.00001
Lactococcus phage jm2,1262535,S,178,48,226,0.00002
Lactococcus phage jm3,1262536,S,96,35,131,0.00001
Bacteroides fragilis,817,S,2819,265,3084,0.0003
Arthrobacter sp. FB24,290399,S,216,28,244,0.00002
Calditerrivibrio nitroreducens,477976,S,39,0,39,0
Marinomonas primoryensis,178399,S,79,6,85,0.00001
Lysobacter antibioticus,84531,S,3410,1189,4599,0.00045
Klebsiella phage K64-1,1439894,S,20,16,36,0
Acinetobacter indicus,756892,S,3282,224,3506,0.00035
Pseudomonas reinekei,395598,S,794,70,864,0.00009
Limnohabitans sp. 63ED37-2,1678128,S,8179,530,8709,0.00086
Limnohabitans sp. 103DPR2,1678129,S,3166,147,3313,0.00033
Leptotrichia sp. oral taxon 212,712357,S,1549,266,1815,0.00018
Cyclobacterium amurskyense,320787,S,29,0,29,0
Clostridium botulinum,1491,S,1432,28,1460,0.00014
Clostridium butyricum,1492,S,645,3,648,0.00006
Clostridium cellulovorans,1493,S,190,2,192,0.00002
Pseudomonas resinovorans,53412,S,908,50,958,0.00009
Hymenobacter swuensis,1446467,S,64,11,75,0.00001
Clostridioides difficile,1496,S,14871,1861,16732,0.00165
Clostridium formicaceticum,1497,S,153,4,157,0.00002
Frankia alni,1859,S,161,96,257,0.00003
Capnocytophaga sp. H4358,1945658,S,13,48,61,0.00001
Hymenobacter sp. APR13,1356852,S,82,18,100,0.00001
Weissella soli,155866,S,224,9,233,0.00002
Streptomyces lunaelactis,1535768,S,164,13,177,0.00002
Corynebacterium stationis,1705,S,73,6,79,0.00001
Methanothermococcus okinawensis,155863,S,13,4,17,0
Cellulomonas fimi,1708,S,534,127,661,0.00007
Brevibacillus brevis,1393,S,213,56,269,0.00003
Bacillus anthracis,1392,S,18,346,364,0.00004
Natronococcus occultus,29288,S,24,1,25,0
Helicobacter canadensis,123841,S,15,0,15,0
Achromobacter phage JWAlpha,1416009,S,16,0,16,0
Candidatus Desulfofervidus auxilii,1621989,S,34,0,34,0
Salmonella virus 118970sal2,1982565,S,31,-31,0,0
Corynebacterium humireducens,1223514,S,171,13,184,0.00002
Enterobacter sp. SA187,1914861,S,767,16,783,0.00008
Candidatus Aquiluna sp. UB-MaderosW2red,1855377,S,37,4,41,0
Halorubrum trapanicum,29284,S,24,3,27,0
Methylorubrum populi,223967,S,1398,465,1863,0.00018
Coriobacteriaceae bacterium 68-1-3,1531429,S,297,45,342,0.00003
Cronobacter condimenti,1163710,S,298,20,318,0.00003
Deinococcus gobiensis,502394,S,124,8,132,0.00001
Aeromonas sp. CA23,2033032,S,471,34,505,0.00005
Aeromonas sp. CU5,2033033,S,478,29,507,0.00005
Dyella japonica,231455,S,786,187,973,0.0001
Streptococcus himalayensis,1888195,S,1493,52,1545,0.00015
Lactococcus phage TP901-1,35345,S,14,8,22,0
Aeromonas phage vB_AsaM-56,1127514,S,876,0,876,0.00009
Azospira oryzae,146939,S,5551,550,6101,0.0006
Acetobacterium woodii,33952,S,984,61,1045,0.0001
Vibrio breoganii,553239,S,58,1,59,0.00001
Lactobacillus johnsonii,33959,S,1472,99,1571,0.00015
Escherichia phage phAPEC8,1229753,S,178,0,178,0.00002
Halanaerobium hydrogeniformans,656519,S,37,28,65,0.00001
Gordonibacter urolithinfaciens,1335613,S,1592,286,1878,0.00019
Mycobacterium phage Myrna,546805,S,17,0,17,0
Streptomyces sp. WAC00288,2094021,S,116,17,133,0.00001
Rhodocyclaceae bacterium,1898103,S,298,765,1063,0.0001
Aureitalea sp. RR4-38,2094025,S,62,1,63,0.00001
Acidiphilium cryptum,524,S,68,176,244,0.00002
Vibrio hyugaensis,1534743,S,35,18,53,0.00001
Enterobacter hormaechei,158836,S,3208,21934,25142,0.00248
Bordetella pertussis,520,S,44,362,406,0.00004
Acinetobacter soli,487316,S,2863,74,2937,0.00029
Weeksella virosa,1014,S,1015,38,1053,0.0001
Sphingomonas sp. JJ-A5,1921510,S,450,318,768,0.00008
Deinococcus sp. NW-56,2080419,S,69,6,75,0.00001
Burkholderia sp. CCGE1003,640512,S,283,70,353,0.00003
Ochrobactrum anthropi,529,S,6068,8255,14323,0.00141
Burkholderia sp. CCGE1001,640510,S,123,865,988,0.0001
Burkholderia sp. CCGE1002,640511,S,309,74,383,0.00004
Acetobacter oryzifermentans,1633874,S,12,42,54,0.00001
Sulfuriferula sp. AH1,1985873,S,518,47,565,0.00006
Lysobacter gummosus,262324,S,2376,1234,3610,0.00036
Dokdonia sp. PRO95,1239415,S,41,10,51,0.00001
Stanieria sp. NIES-3757,1807358,S,20,2,22,0
Flavobacteriaceae bacterium,1871037,S,97,5,102,0.00001
Corynebacterium lactis,1231000,S,94,4,98,0.00001
Kangiella sediminilitoris,1144748,S,55,1,56,0.00001
Propionimicrobium sp. Marseille-P3275,1871034,S,125,18,143,0.00001
Piscirickettsia salmonis,1238,S,38,0,38,0
Cloacibacillus porcorum,1197717,S,1447,30,1477,0.00015
Bifidobacterium scardovii,158787,S,536,9,545,0.00005
Jonesia denitrificans,43674,S,224,17,241,0.00002
Candidatus Puniceispirillum marinum,767892,S,36,0,36,0
Sneathia amnii,187101,S,378,17,395,0.00004
Glutamicibacter arilaitensis,256701,S,478,105,583,0.00006
Enterococcus gilvus,160453,S,2511,212,2723,0.00027
Candidatus Arsenophonus lipoptenae,634113,S,26,0,26,0
Brachyspira murdochii,84378,S,36,8,44,0
Lactococcus phage 949,881953,S,66,5,71,0.00001
Bacillus halodurans,86665,S,64,1,65,0.00001
Bacillus flexus,86664,S,70,4,74,0.00001
Alcanivorax xenomutans,1094342,S,185,18,203,0.00002
Legionella sainthelensi,28087,S,37,16,53,0.00001
Bifidobacterium kashiwanohense,630129,S,8462,1789,10251,0.00101
Owenweeksia hongkongensis,253245,S,64,0,64,0.00001
Legionella anisa,28082,S,29,5,34,0
Acetobacter pasteurianus,438,S,157,397,554,0.00005
Escherichia virus phiEco32,490103,S,24,8,32,0
Komagataeibacter hansenii,436,S,94,8,102,0.00001
Solibacillus silvestris,76853,S,103,20,123,0.00001
Acetobacter aceti,435,S,126,5,131,0.00001
Massilia timonae,47229,S,930,105,1035,0.0001
Corynebacterium ulcerans,65058,S,40,3,43,0
Frankia casuarinae,106370,S,152,16,168,0.00002
Curtobacterium sp. MR_MD2014,1561023,S,313,102,415,0.00004
Escherichia phage PBECO 4,1273738,S,21,11,32,0
Acinetobacter sp. TGL-Y2,1407071,S,1695,27,1722,0.00017
Lactococcus phage P087,641487,S,73,0,73,0.00001
Methanobrevibacter millerae,230361,S,71,0,71,0.00001
Actinomyces gaoshouyii,1960083,S,119,64,183,0.00002
Celeribacter indicus,1208324,S,1595,1561,3156,0.00031
Actinoalloteichus hoggarensis,1470176,S,172,149,321,0.00003
Blattabacterium sp. (Blattella germanica),624186,S,17,2,19,0
Pandoraea apista,93218,S,693,171,864,0.00009
Pandoraea norimbergensis,93219,S,670,70,740,0.00007
Thermovibrio ammonificans,228745,S,12,1,13,0
Pseudomonas alcaliphila,101564,S,590,344,934,0.00009
Aminobacterium colombiense,81468,S,70,2,72,0.00001
Hymenobacter sp. DG25A,1385663,S,35,32,67,0.00001
Halomonas beimenensis,475662,S,281,13,294,0.00003
Bacillus xiamenensis,1178537,S,23,1,24,0
Providencia heimbachae,333962,S,64,3,67,0.00001
Rhodobacter sp. LPB0142,1850250,S,3704,1455,5159,0.00051
Citrobacter freundii complex sp. CFNIH2,2066049,S,157,135,292,0.00003
Arcobacter sp. LPB0137,1850254,S,536,17,553,0.00005
Cellvibrio japonicus,155077,S,157,9,166,0.00002
Microbacterium sp. PM5,2014534,S,2663,341,3004,0.0003
Formosa sp. Hel1_31_208,1798225,S,96,5,101,0.00001
Methylobacterium sp. C1,1479019,S,153,565,718,0.00007
Myroides sp. A21,1583100,S,24,16,40,0
Azospirillum humicireducens,1226968,S,302,215,517,0.00005
Agrobacterium sp. H13-3,861208,S,158,545,703,0.00007
Massilia putida,1141883,S,853,237,1090,0.00011
Methylovorus glucosotrophus,266009,S,90,75,165,0.00002
Salmonella virus Stitch,1540099,S,32,41,73,0.00001
Mycobacterium virus Brujita,561996,S,16,16,32,0
Mucilaginibacter gotjawali,1550579,S,53,5,58,0.00001
Amycolatopsis orientalis,31958,S,189,154,343,0.00003
Thalassospira marina,2048283,S,156,6,162,0.00002
Halorubrum lacusprofundi,2247,S,20,17,37,0
Myroides odoratimimus,76832,S,245,356,601,0.00006
Yersinia aleksiciae,263819,S,114,10,124,0.00001
Thalassospira xiamenensis,220697,S,328,10,338,0.00003
Porphyrobacter sp. CACIAM 03H1,2003315,S,1201,262,1463,0.00014
Butyrivibrio proteoclasticus,43305,S,402,126,528,0.00005
Pseudarthrobacter phenanthrenivorans,361575,S,469,131,600,0.00006
Herminiimonas arsenitoxidans,1809410,S,267,32,299,0.00003
Flavobacterium gilvum,1492737,S,790,38,828,0.00008
Kyrpidia spormannii,2055160,S,35,6,41,0
Erythrobacter seohaensis,266951,S,273,23,296,0.00003
Escherichia virus 4MG,1914894,S,48,12,60,0.00001
Streptomyces sp. ZFG47,2184053,S,140,12,152,0.00001
Methanosphaerula palustris,475088,S,96,8,104,0.00001
Halanaeroarchaeum sulfurireducens,1604004,S,23,1,24,0
Calothrix parietina,32054,S,16,2,18,0
Tolumonas auensis,43948,S,2098,106,2204,0.00022
Synechococcus sp. WH 7803,32051,S,34,8,42,0
Helicobacter bizzozeronii,56877,S,34,1,35,0
Komagataeibacter xylinus,28448,S,128,118,246,0.00002
Phytobacter sp. SCO41,1756993,S,334,247,581,0.00006
Elizabethkingia meningoseptica,238,S,582,31,613,0.00006
Pseudoalteromonas sp. NC201,1514074,S,16,7,23,0
Aerococcus urinaehominis,128944,S,134,2,136,0.00001
Amycolatopsis mediterranei,33910,S,281,-281,0,0
Paenibacillus sp. JDR-2,324057,S,83,5,88,0.00001
Ilyobacter polytropus,167642,S,95,6,101,0.00001
Corynebacterium vitaeruminis,38305,S,330,24,354,0.00003
Burkholderia sp. YI23,1097668,S,129,187,316,0.00003
Gramella sp. MAR_2010_102,1250231,S,53,6,59,0.00001
Winogradskyella sp. J14-2,1936080,S,92,4,96,0.00001
Amycolatopsis albispora,1804986,S,336,153,489,0.00005
Clostridium sp. BNL1100,755731,S,181,2,183,0.00002
Burkholderia sp. OLGA172,1804984,S,399,150,549,0.00005
Muribaculum intestinale,1796646,S,109,1,110,0.00001
Methanothrix soehngenii,2223,S,53202,18,53220,0.00525
Stenotrophomonas sp. Pemsol,2040586,S,722,541,1263,0.00012
Sphingobium sp. MI1205,407020,S,365,363,728,0.00007
Luteimonas sp. 100111,2006110,S,3739,420,4159,0.00041
Erythrobacter litoralis,39960,S,750,195,945,0.00009
Microlunatus phosphovorus,29405,S,3006,163,3169,0.00031
Campylobacter lanienae,75658,S,10,0,10,0
Dechloromonas sp. HYN0024,2231055,S,4154,525,4679,0.00046
Sphingobium sp. SYK-6,627192,S,677,130,807,0.00008
Cryobacterium arcticum,670052,S,247,149,396,0.00004
Octadecabacter temperatus,1458307,S,89,1,90,0.00001
Marinobacter salinus,1874317,S,135,3,138,0.00001
Gardnerella vaginalis,2702,S,1709,38,1747,0.00017
Planctopirus limnophila,120,S,151,3,154,0.00002
Klebsiella quasivariicola,2026240,S,2128,749,2877,0.00028
Actinomyces sp. VUL4_3,1912795,S,40,1,41,0
Micromonospora inositola,47865,S,128,46,174,0.00002
Isoptericola variabilis,139208,S,483,180,663,0.00007
Escherichia phage CICC 80001,1527506,S,10,8,18,0
Nonlabens dokdonensis,328515,S,67,15,82,0.00001
Pseudogulbenkiania sp. NH8B,748280,S,807,145,952,0.00009
Dokdonella koreensis,323415,S,1519,121,1640,0.00016
Mesorhizobium australicum,536018,S,702,320,1022,0.0001
Syntrophobacter fumaroxidans,119484,S,443,109,552,0.00005
Pirellula staleyi,125,S,84,0,84,0.00001
Bdellovibrio exovorus,453816,S,104,2,106,0.00001
Aeromicrobium sp. 592,2079793,S,369,76,445,0.00004
Pseudodesulfovibrio profundus,57320,S,900,421,1321,0.00013
Paenibacillus odorifer,189426,S,50,5,55,0.00001
Polaribacter sp. KT 15,1896175,S,39,98,137,0.00001
Acinetobacter sp. TTH0-4,1646498,S,5412,219,5631,0.00055
Halodesulfurarchaeum formicicum,1873524,S,17,3,20,0
Yersinia phage vB_YenP_AP10,1735591,S,29,0,29,0
Altererythrobacter sp. ZODW24,2185142,S,171,3,174,0.00002
Carnobacterium sp. 17-4,208596,S,248,22,270,0.00003
Bradyrhizobium icense,1274631,S,1097,141,1238,0.00012
Rhodococcus erythropolis,1833,S,979,1455,2434,0.00024
Pseudomonas silesiensis,1853130,S,765,69,834,0.00008
Saccharopolyspora erythraea,1836,S,236,37,273,0.00003
Escherichia phage 121Q,1555202,S,10,5,15,0
Arcobacter sp. L,944547,S,1158,241,1399,0.00014
Flavobacterium sp. AJ004,1981981,S,313,17,330,0.00003
Burkholderia plantarii,41899,S,61,209,270,0.00003
Mycobacteroides abscessus,36809,S,1394,629,2023,0.0002
Anoxybacillus amylolyticus,294699,S,29,5,34,0
Lachnospiraceae bacterium Choco86,2109690,S,13498,1194,14692,0.00145
Nitrosococcus watsonii,473531,S,84,7,91,0.00001
Erysipelotrichaceae bacterium GAM147,2109692,S,17659,9996,27655,0.00273
Capnocytophaga haemolytica,45243,S,73,2,75,0.00001
Microbacterium aurum,36805,S,8264,1973,10237,0.00101
Corynebacterium sp. NML98-0116,702967,S,155,13,168,0.00002
Bradymonas sediminis,1548548,S,87,0,87,0.00001
Sphaerochaeta globosa,1131703,S,59,0,59,0.00001
Escherichia virus FFH1,2049893,S,12,11,23,0
Sphaerochaeta pleomorpha,1131707,S,257,8,265,0.00003
Arcticibacterium luteifluviistationis,1784714,S,79,13,92,0.00001
Rhodococcus sp. WMMA185,679318,S,152,11,163,0.00002
Bifidobacterium indicum,1691,S,21,6,27,0
Woeseia oceani,1548547,S,119,0,119,0.00001
Chloracidobacterium thermophilum,458033,S,73,5,78,0.00001
Maritalea myrionectae,454601,S,124,2,126,0.00001
Streptomyces peucetius,1950,S,115,12,127,0.00001
Methanobrevibacter olleyae,294671,S,58,1,59,0.00001
Cellvibrio sp. PSBB006,1987723,S,111,3,114,0.00001
Serratia sp. YD25,1759437,S,98,22,120,0.00001
Escherichia virus SUSP2,1985291,S,16,7,23,0
Thermobacillus composti,377615,S,178,8,186,0.00002
Candidatus Amoebophilus asiaticus,281120,S,17,0,17,0
Lysinibacillus sp. 2017,2169540,S,62,15,77,0.00001
Zobellella denitrificans,347534,S,380,10,390,0.00004
Colwellia beringensis,1967665,S,17,6,23,0
Clostridium sp. DL-VIII,641107,S,194,1,195,0.00002
Sphingopyxis sp. FD7,1914525,S,3085,542,3627,0.00036
Capnocytophaga sp. ChDC OS43,209053,S,40,15,55,0.00001
Simplicispira suum,2109915,S,17151,1937,19088,0.00188
Bradyrhizobium sp. S23321,335659,S,508,99,607,0.00006
Brevibacterium linens,1703,S,550,193,743,0.00007
Klebsiella quasipneumoniae,1463165,S,2337,2992,5329,0.00053
Campylobacter gracilis,824,S,122,0,122,0.00001
Campylobacter ureolyticus,827,S,53,1,54,0.00001
Sebaldella termitidis,826,S,131397,1448,132845,0.01309
Bacteroides vulgatus,821,S,5957,919,6876,0.00068
Parabacteroides distasonis,823,S,1298,977,2275,0.00022
Nitrosomonas communis,44574,S,136,1,137,0.00001
Nitrosomonas ureae,44577,S,179,71,250,0.00002
Aeromonas virus 65,260149,S,12,0,12,0
Rhodospirillum centenum,34018,S,480,100,580,0.00006
Clostridium autoethanogenum,84023,S,12,2,14,0
Mesorhizobium sp. WSM1497,278153,S,80,501,581,0.00006
secondary endosymbiont of Trabutina mannipara,1835721,S,11,2,13,0
Pectobacterium parmentieri,1905730,S,58,16,74,0.00001
Virgibacillus halodenitrificans,1482,S,36,9,45,0
Methanosarcina sp. Kolksee,1434099,S,22,39,61,0.00001
Spiribacter curvatus,1335757,S,90,2,92,0.00001
Burkholderia sp. JP2-270,2217913,S,109,73,182,0.00002
Herbaspirillum rubrisubalbicans,80842,S,870,205,1075,0.00011
Cnuibacter physcomitrellae,1619308,S,144,1166,1310,0.00013
Pseudomonas orientalis,76758,S,2327,434,2761,0.00027
Pseudomonas monteilii,76759,S,1349,240,1589,0.00016
Cellulomonas flavigena,1711,S,550,138,688,0.00007
Cellulosimicrobium cellulans,1710,S,439,155,594,0.00006
Corynebacterium diphtheriae,1717,S,98,372,470,0.00005
Psychrobacter sp. YP14,2203895,S,3272,4091,7363,0.00073
Corynebacterium pseudotuberculosis,1719,S,34,1,35,0
Corynebacterium glutamicum,1718,S,159,872,1031,0.0001
Mycobacterium virus Bane1,1983109,S,13,8,21,0
Mycobacterium virus BrownCNA,1983108,S,17,7,24,0
Pandoravirus dulcis,1349409,S,11,1,12,0
Acinetobacter virus 133,279006,S,35,0,35,0
Nitratireductor basaltis,472175,S,254,7,261,0.00003
Yersinia massiliensis,419257,S,75,80,155,0.00002
Lachnospiraceae bacterium oral taxon 500,712991,S,439,14,453,0.00004
Salmonella virus SPN3US,1984796,S,151,2,153,0.00002
Ruminococcus champanellensis,1161942,S,1220,76,1296,0.00013
Enterococcus casseliflavus,37734,S,165,167,332,0.00003
Runella sp. HYN0085,2259595,S,130,9,139,0.00001
Thermodesulfobium narugense,184064,S,13,7,20,0
Nocardiopsis gilva,280236,S,203,20,223,0.00002
Roseiflexus sp. RS-1,357808,S,100,10,110,0.00001
Acinetobacter johnsonii,40214,S,174591,121542,296133,0.02919
Acinetobacter junii,40215,S,16872,1639,18511,0.00182
Acinetobacter radioresistens,40216,S,1912,41,1953,0.00019
Micromonospora sp. L5,648999,S,24,225,249,0.00002
Thermincola potens,863643,S,88,4,92,0.00001
Streptococcus ruminantium,1917441,S,8232,159,8391,0.00083
Kyrpidia tusciae,33943,S,33,6,39,0
Geobacillus thermodenitrificans,33940,S,20,87,107,0.00001
Candidatus Paracaedibacter acanthamoebae,91604,S,48,0,48,0
Phaeobacter porticola,1844006,S,273,112,385,0.00004
Massilia sp. YMA4,1593482,S,574,182,756,0.00007
Octadecabacter arcticus,53946,S,243,11,254,0.00003
Kosakonia oryzae,497725,S,260,123,383,0.00004
Hafnia sp. CBA7124,1848580,S,47,67,114,0.00001
Salinicoccus halodurans,407035,S,63,2,65,0.00001
Anaeromyxobacter dehalogenans,161493,S,178,142,320,0.00003
Bordetella parapertussis,519,S,325,1489,1814,0.00018
Bordetella bronchiseptica,518,S,638,1830,2468,0.00024
Capnocytophaga ochracea,1018,S,33,40,73,0.00001
Burkholderia sp. KK1,1855726,S,194,155,349,0.00003
Stenotrophomonas maltophilia,40324,S,17810,14521,32331,0.00319
Pseudomonas savastanoi,29438,S,162,146,308,0.00003
Staphylococcus saprophyticus,29385,S,120,7,127,0.00001
Microvirga sp. 17 mud 1-3,2082949,S,573,73,646,0.00006
Alcaligenes faecalis,511,S,3080,694,3774,0.00037
Actinomyces radicidentis,111015,S,346,102,448,0.00004
Staphylococcus capitis,29388,S,392,38,430,0.00004
Acinetobacter haemolyticus,29430,S,6243,460,6703,0.00066
Sulfitobacter sp. SK025,1389011,S,612,185,797,0.00008
Synechococcus sp. KORDI-49,585423,S,32,6,38,0
Shigella flexneri,623,S,45,78,123,0.00001
Shigella dysenteriae,622,S,111,173,284,0.00003
Rhodoluna lacicola,529884,S,39,6,45,0
Ndongobacter massiliensis,1871025,S,101,5,106,0.00001
Massilia armeniaca,2072590,S,601,191,792,0.00008
Xenorhabdus nematophila,628,S,38,5,43,0
Enterobacter sp. E20,1560339,S,869,787,1656,0.00016
Lachnoclostridium phocaeense,1871021,S,3717,340,4057,0.0004
Nitrosococcus oceani,1229,S,106,8,114,0.00001
Altererythrobacter epoxidivorans,361183,S,363,54,417,0.00004
Cupriavidus sp. USMAA2-4,876364,S,495,2713,3208,0.00032
Carnobacterium inhibens,147709,S,1686,258,1944,0.00019
Pseudarthrobacter equi,728066,S,123,36,159,0.00002
Methanosarcina sp. MTP4,1434100,S,33,6,39,0
Ornithobacterium rhinotracheale,28251,S,404,713,1117,0.00011
Klebsiella phage 0507-KN2-1,1206545,S,20,0,20,0
Nostoc punctiforme,272131,S,22,14,36,0
Tenericutes bacterium MO-XQ,1911684,S,36,7,43,0
Cobetia marina,28258,S,169,49,218,0.00002
Tenericutes bacterium MZ-XQ,1911683,S,17,3,20,0
Acinetobacter lwoffii,28090,S,29126,50070,79196,0.00781
Neisseria weaveri,28091,S,3051,429,3480,0.00034
Lactobacillus jensenii,109790,S,130,1,131,0.00001
Burkholderia gladioli,28095,S,1073,178,1251,0.00012
Lactococcus virus sk1,31532,S,19,39,58,0.00001
[Eubacterium] sulci,143393,S,356,22,378,0.00004
Escherichia virus SU10,1987942,S,56,20,76,0.00001
Rhodococcus fascians,1828,S,1448,560,2008,0.0002
Novibacillus thermophilus,1471761,S,101,5,106,0.00001
Microbulbifer sp. A4B17,359370,S,103,3,106,0.00001
Phoenicibacter massiliensis,1944646,S,537,7,544,0.00005
Staphylococcus succinus,61015,S,65,2,67,0.00001
Clostridium carboxidivorans,217159,S,147,2,149,0.00001
Sphingopyxis sp. LPB0140,1913578,S,73,1,74,0.00001
Spiroplasma helicoides,216938,S,18,3,21,0
Spiroplasma floricola,216937,S,26,5,31,0
Staphylococcus carnosus,1281,S,25,3,28,0
Spiroplasma culicicola,216935,S,19,8,27,0
Streptomyces dengpaensis,2049881,S,144,11,155,0.00002
Spiroplasma chrysopicola,216933,S,12,4,16,0
Gramella salexigens,1913577,S,47,3,50,0
Rhizobium sp. ACO-34A,1571470,S,6838,739,7577,0.00075
Francisella sp. TX077308,573569,S,12,3,15,0
Dictyoglomus thermophilum,14,S,38,0,38,0
Pelobacter carbinolicus,19,S,146,5,151,0.00001
Vibrio sp. 2521-89,2014742,S,14,10,24,0
Pseudomonas arsenicoxydans,702115,S,665,66,731,0.00007
Methylomonas koyamae,702114,S,127,101,228,0.00002
Novosphingobium sp. PP1Y,702113,S,789,460,1249,0.00012
Alistipes shahii,328814,S,1787,326,2113,0.00021
Enterobacter sp. ODB01,1827481,S,592,946,1538,0.00015
Methylovulum psychrotolerans,1704499,S,971,8,979,0.0001
Methanolacinia petrolearia,54120,S,14,5,19,0
Ruminococcus bicirculans,1160721,S,2890,213,3103,0.00031
Erwinia tasmaniensis,338565,S,124,10,134,0.00001
Enterobacteriaceae bacterium ENNIH1,2066051,S,439,142,581,0.00006
Serratia ficaria,61651,S,291,14,305,0.00003
Devosia sp. H5989,1643450,S,903,92,995,0.0001
Rhodovulum sulfidophilum,35806,S,1187,390,1577,0.00016
Pectobacterium wasabiae,55208,S,48,10,58,0.00001
Streptomyces reticuli,1926,S,99,13,112,0.00001
uncultured crAssphage,1211417,S,130102,0,130102,0.01282
Oceanobacillus iheyensis,182710,S,94,6,100,0.00001
Segniliparus rotundus,286802,S,145,2,147,0.00001
Caldicellulosiruptor owensensis,55205,S,22,24,46,0
Flavobacteriaceae bacterium MAR_2010_188,1250295,S,110,2,112,0.00001
Shewanella sp. Pdp11,2059264,S,40,13,53,0.00001
Gordonia phage Emalyn,1821552,S,13,0,13,0
Lactococcus virus c2,31537,S,86,0,86,0.00001
Parageobacillus genomosp. 1,1295642,S,27,5,32,0
Xanthomonas fragariae,48664,S,810,84,894,0.00009
Pseudomonas thivervalensis,86265,S,396,67,463,0.00005
Oceanithermus profundus,187137,S,70,3,73,0.00001
Chlorobium chlorochromatii,337090,S,49,0,49,0
Haloferax mediterranei,2252,S,13,1,14,0
Halomonas huangheensis,1178482,S,127,2,129,0.00001
Arenibacter algicola,616991,S,125,5,130,0.00001
Citromicrobium sp. JL477,1634516,S,446,54,500,0.00005
Xanthomonas vesicatoria,56460,S,1281,546,1827,0.00018
Natrinema pellirubrum,69525,S,18,3,21,0
Acidothermus cellulolyticus,28049,S,88,1,89,0.00001
Agarivorans gilvus,680279,S,86,1,87,0.00001
Escherichia virus Rtp,355246,S,15,1,16,0
Lactococcus phage Tuc2009,35241,S,12,9,21,0
Nitratireductor sp. OM-1,1756988,S,657,53,710,0.00007
Austwickia chelonae,100225,S,328,13,341,0.00003
Sporosarcina psychrophila,1476,S,36,3,39,0
Streptomyces sp. Tu6071,355249,S,17,15,32,0
Rhizobium sp. TAL182,2020313,S,67,212,279,0.00003
Rhizobium sp. CIAT894,2020312,S,786,251,1037,0.0001
Rhizobium sp. Kim5,2020311,S,125,287,412,0.00004
Deinococcus wulumuqiensis,980427,S,90,27,117,0.00001
Comamonadaceae bacterium A1,1458425,S,3973,771,4744,0.00047
Campylobacter curvus,200,S,12,0,12,0
Comamonadaceae bacterium B1,1458426,S,7290,1446,8736,0.00086
Campylobacter sputorum,206,S,66,1,67,0.00001
Magnetospirillum gryphiswaldense,55518,S,598,31,629,0.00006
Endozoicomonas montiporae,1027273,S,78,0,78,0.00001
Paenibacillus yonginensis,1462996,S,90,28,118,0.00001
Ferriphaselus amnicola,1188319,S,491,45,536,0.00005
Serratia fonticola,47917,S,1263,32,1295,0.00013
Polynucleobacter asymbioticus,576611,S,94,334,428,0.00004
Polynucleobacter necessarius,576610,S,540,47,587,0.00006
Paenalcaligenes hominis,643674,S,368,9,377,0.00004
Enterobacter sp. CRENT-193,2051905,S,22,424,446,0.00004
Nocardioides dokdonensis,450734,S,1029,274,1303,0.00013
Paenibacillus naphthalenovorans,162209,S,93,4,97,0.00001
Bacillus smithii,1479,S,32,12,44,0
